feature,importance
m5_mad_score_liquidity_deficit_rolling_30,0.1773872158282934
m5_mad_score_liquidity_deficit_rolling_7,0.14693828662287967
m5_mad_score_liquidity_deficit,0.13401049275506904
m3_mad_score_cover_ratio_rolling_7,0.08888618220303646
m2_mad_score_repo_outstanding_rolling_7,0.06497517385224122
m3_mad_score_yield_spread_rolling_7,0.05642830386767081
m5_mad_score_monthly_delta,0.054780095707817895
m5_mad_score_weekly_delta_rolling_7,0.04400454925573817
m2_mad_score_repo_rolling_30,0.040287615215648935
m2_mad_score_repo_delta_30d,0.03363360100455205
m1_mad_score_spread_rolling_7,0.02782369011809262
m5_mad_score_weekly_delta,0.027660304222595414
m2_mad_score_repo_rolling_7,0.020291923283100928
m2_mad_score_repo_delta_7d_rolling_7,0.020138068479105885
m2_mad_score_cover_ratio_proxy,0.017338497032275968
m2_mad_score_repo_outstanding,0.01703333391241974
m2_mad_score_repo_delta_7d,0.006986572142860908
m4_seasonal_factor,0.004930993048082879
m2_mad_score_rate_spread_proxy,0.004850164800198484
m4_tax_week_flag,0.002760122966950571
m3_mad_score_yield_spread,0.0020965041536204856
m3_mad_score_cover_ratio,0.0018824102126653764
m4_profit_tax_flag,0.001394284077898255
m4_vat_period_flag,0.000888192942616853
m1_mad_score_spread,0.000841576658304112
m4_main_tax_day_flag,0.0006944463594801475
m4_end_of_quarter_flag,0.000504395266597995
m1_mad_score_ruonia,0.0004531856099081678
m4_end_of_month_flag,9.981840027743988e-05
