Дата / Дата / Дата / Дата / Дата / 1,Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / 2 = 4 - 9 + 13 - 14 + 15,Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / 3 = 4 - 9 + 13,в том числе / стандартные инструменты денежно-кредитной политики / требования Банка России к кредитным организациям / требования Банка России к кредитным организациям / требования Банка России к кредитным организациям / 4 = 5 + 6 + 7 + 8,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / аукционы / репо и «валютный своп»** / 5,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / аукционы / обеспеченные кредиты / 6,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / операции постоянного действия / репо и «валютный своп»** / 7,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / операции постоянного действия / обеспеченные кредиты / 8,в том числе / стандартные инструменты денежно-кредитной политики / обязательства Банка России перед кредитными организациями / обязательства Банка России перед кредитными организациями / обязательства Банка России перед кредитными организациями / 9 = 10 + 11 + 12,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / депозиты / аукционы / 10,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / депозиты / операции постоянного действия / 11,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / КОБР / КОБР / 12,"в том числе / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / 13",Справочно: / Средства банков на корсчетах в Банке России / Средства банков на корсчетах в Банке России / Средства банков на корсчетах в Банке России / Средства банков на корсчетах в Банке России / 14,"Справочно: / Обязательные резервы, подлежащие усреднению на корсчетах*** / Обязательные резервы, подлежащие усреднению на корсчетах*** / Обязательные резервы, подлежащие усреднению на корсчетах*** / Обязательные резервы, подлежащие усреднению на корсчетах*** / 15"
02.06.2026,"1 754,9","1 725,1","5 169,9","4 328,8",0,199,8212,"3 679,7",0,"3 679,7",0,235,"5 250,7","5 280,4"
01.06.2026,"1 762,3","1 777,8","5 149,9","4 328,9",0,15,806,"3 607,1",0,"3 607,1",0,235,"5 295,9","5 280,4"
29.05.2026,"1 690,7","1 801,9","5 100,4","4 328,9",0,0,7716,"3 534,5",0,"3 534,5",0,236,"5 391,6","5 280,4"
28.05.2026,"1 687,7","1 604,4","5 013,7",4 332,0,0,6817,"3 641,8",0,"3 641,8",0,2324,5 197,"5 280,4"
27.05.2026,"1 692,2","1 806,9","5 264,7","4 420,2",0,28,8417,"3 689,7",0,"3 689,7",0,2319,"5 395,1","5 280,4"
26.05.2026,"1 691,7","1 741,5","5 171,9","4 420,2",0,0,7517,3 662,0,3 662,0,2316,"5 330,2","5 280,4"
25.05.2026,"1 795,1",1 727,"5 041,9","4 420,2",0,0,6217,"3 546,2",0,"3 546,2",0,2313,"5 247,3","5 315,5"
22.05.2026,"1 741,4","1 728,8","5 116,9","4 420,2",0,0,6967,"3 631,5",0,"3 631,5",0,2434,"5 267,9","5 280,4"
21.05.2026,"1 739,7","1 771,2","5 137,7","4 422,3",0,38,7117,3 610,0,3 610,0,2436,"5 311,9","5 280,4"
20.05.2026,"1 733,7","2 165,1","5 597,2","4 791,5",0,0,8057,"3 675,5",0,"3 675,5",0,2433,"5 711,8","5 280,4"
19.05.2026,"1 750,2","2 330,9",5 698,"4 792,3",0,0,9057,"3 610,4",0,"3 610,4",0,2433,"5 861,1","5 280,4"
18.05.2026,"1 757,4","2 291,5","5 568,4","4 792,7",0,0,7757,"3 520,5",0,"3 520,5",0,2436,"5 814,5","5 280,4"
15.05.2026,"1 712,7","2 151,2",5 489,"4 793,3",0,0,6957,"3 581,8",0,"3 581,8",0,244,"5 718,9","5 280,4"
14.05.2026,"1 700,5","2 316,9",5 704,"4 793,3",0,0,9107,"3 631,1",0,"3 631,1",0,244,"5 896,7","5 280,4"
13.05.2026,"1 627,3",6029,"4 870,6","4 139,8",0,0,7307,"4 511,7","1 098,8","3 412,9",0,244,"4 291,1","5 315,5"
12.05.2026,"1 756,6","1 161,6","4 777,8","4 139,8",0,0,638,"3 856,3",0,"3 856,3",0,2401,"4 720,6","5 315,5"
11.05.2026,1 751,"1 358,4","4 779,3","4 141,3",0,0,638,3 661,0,3 661,0,2401,"4 922,8","5 315,5"
08.05.2026,"1 598,5","1 367,6","4 714,3","4 141,3",0,0,573,"3 590,4",0,"3 590,4",0,2437,"5 084,7","5 315,5"
07.05.2026,"1 590,6","1 452,9","4 762,3","4 141,5",0,28,618,"3 553,1",0,"3 553,1",0,2437,"5 177,8","5 315,5"
06.05.2026,"1 534,5","1 878,7","5 260,7","4 602,7",0,0,658,3 622,0,3 622,0,2401,"5 659,7","5 315,5"
05.05.2026,"1 501,7",2 137,"5 415,7","4 602,7",0,0,813,"3 518,8",0,"3 518,8",0,2401,"5 950,8","5 315,5"
04.05.2026,"1 469,7","2 229,1","5 429,7","4 602,7",0,0,827,"3 440,6",0,"3 440,6",0,2401,"6 074,9","5 315,5"
30.04.2026,"1 432,3",2 573,"5 730,8","4 602,8",0,0,1 128,"3 482,6",0,"3 482,6",0,3248,"6 456,3","5 315,5"
29.04.2026,"1 353,5",2 635,"5 778,9","4 489,9",0,0,1 289,3 496,0,3 496,0,352,"6 596,9","5 315,5"
28.04.2026,"1 358,8","1 815,2","5 015,4","4 491,4",0,0,524,"3 440,5",0,"3 440,5",0,2403,"5 771,9","5 315,5"
