Дата,Ставка
02.06.2026,1450
01.06.2026,1450
29.05.2026,1450
28.05.2026,1450
27.05.2026,1450
26.05.2026,1450
25.05.2026,1450
22.05.2026,1450
21.05.2026,1450
20.05.2026,1450
19.05.2026,1450
18.05.2026,1450
15.05.2026,1450
14.05.2026,1450
13.05.2026,1450
12.05.2026,1450
11.05.2026,1450
08.05.2026,1450
07.05.2026,1450
06.05.2026,1450
05.05.2026,1450
04.05.2026,1450
30.04.2026,1450
29.04.2026,1450
28.04.2026,1450
27.04.2026,1450
24.04.2026,1500
23.04.2026,1500
22.04.2026,1500
21.04.2026,1500
20.04.2026,1500
17.04.2026,1500
16.04.2026,1500
15.04.2026,1500
14.04.2026,1500
13.04.2026,1500
10.04.2026,1500
09.04.2026,1500
08.04.2026,1500
07.04.2026,1500
06.04.2026,1500
03.04.2026,1500
02.04.2026,1500
01.04.2026,1500
31.03.2026,1500
30.03.2026,1500
27.03.2026,1500
26.03.2026,1500
25.03.2026,1500
24.03.2026,1500
23.03.2026,1500
20.03.2026,1550
19.03.2026,1550
18.03.2026,1550
17.03.2026,1550
16.03.2026,1550
13.03.2026,1550
12.03.2026,1550
11.03.2026,1550
10.03.2026,1550
09.03.2026,1550
06.03.2026,1550
05.03.2026,1550
04.03.2026,1550
03.03.2026,1550
02.03.2026,1550
27.02.2026,1550
26.02.2026,1550
25.02.2026,1550
24.02.2026,1550
20.02.2026,1550
19.02.2026,1550
18.02.2026,1550
17.02.2026,1550
16.02.2026,1550
13.02.2026,1600
12.02.2026,1600
11.02.2026,1600
10.02.2026,1600
09.02.2026,1600
06.02.2026,1600
05.02.2026,1600
04.02.2026,1600
03.02.2026,1600
02.02.2026,1600
30.01.2026,1600
29.01.2026,1600
28.01.2026,1600
27.01.2026,1600
26.01.2026,1600
23.01.2026,1600
22.01.2026,1600
21.01.2026,1600
20.01.2026,1600
19.01.2026,1600
16.01.2026,1600
15.01.2026,1600
14.01.2026,1600
13.01.2026,1600
12.01.2026,1600
09.01.2026,1600
08.01.2026,1600
06.01.2026,1600
05.01.2026,1600
30.12.2025,1600
29.12.2025,1600
26.12.2025,1600
25.12.2025,1600
24.12.2025,1600
23.12.2025,1600
22.12.2025,1600
19.12.2025,1650
18.12.2025,1650
17.12.2025,1650
16.12.2025,1650
15.12.2025,1650
12.12.2025,1650
11.12.2025,1650
10.12.2025,1650
09.12.2025,1650
08.12.2025,1650
05.12.2025,1650
04.12.2025,1650
03.12.2025,1650
02.12.2025,1650
01.12.2025,1650
28.11.2025,1650
27.11.2025,1650
26.11.2025,1650
25.11.2025,1650
24.11.2025,1650
21.11.2025,1650
20.11.2025,1650
19.11.2025,1650
18.11.2025,1650
17.11.2025,1650
14.11.2025,1650
13.11.2025,1650
12.11.2025,1650
11.11.2025,1650
10.11.2025,1650
07.11.2025,1650
06.11.2025,1650
05.11.2025,1650
03.11.2025,1650
01.11.2025,1650
31.10.2025,1650
30.10.2025,1650
29.10.2025,1650
28.10.2025,1650
27.10.2025,1650
24.10.2025,1700
23.10.2025,1700
22.10.2025,1700
21.10.2025,1700
20.10.2025,1700
17.10.2025,1700
