Тип аукциона,репо
"Объем спроса на операции репо, млн руб.","5 765 634,8"
"Общий объем заключенных сделок репо, млн руб.","4 300 000,0"
"Ставка отсечения, % годовых",145014
"Средневзвешенная ставка, % годовых",145106
"Минимальная заявленная ставка, % годовых",145014
"Максимальная заявленная ставка, % годовых",146900
"Объем заключенных сделок репо  в рамках лимита, млн руб.","4 300 000,0"
"Средневзвешенная ставка по заявкам, удовлетворенным в рамках лимита, % годовых",145106
"Срок, дни",7
Дата исполнения первой части сделки,03.06.2026
Дата исполнения второй части сделки,10.06.2026
