0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Дата,Требования1,Требования1,Требования1,Требования1,Требования1,Требования1,Требования1,"Справочно: денежные средства, предоставленные Банком России по первым частям сделок репо2","Справочно: денежные средства, предоставленные Банком России по первым частям сделок репо2","Справочно: денежные средства, предоставленные Банком России по первым частям сделок репо2","Справочно: денежные средства, предоставленные Банком России по первым частям сделок репо2","Справочно: денежные средства, предоставленные Банком России по первым частям сделок репо2","Справочно: денежные средства, предоставленные Банком России по первым частям сделок репо2","Справочно: денежные средства, предоставленные Банком России по первым частям сделок репо2"
Дата,всего,по итогам аукционов,по итогам аукционов,по итогам аукционов,по итогам аукционов,по операциям постоянного действия,по операциям постоянного действия,всего,по итогам аукционов,по итогам аукционов,по итогам аукционов,по итогам аукционов,по операциям постоянного действия,по операциям постоянного действия
Дата,всего,ТН,ОСН,1 мес,1 год,ОМ3,ДМ,всего,ТН,ОСН,1 мес,1 год,ОМ3,ДМ
02.06.2026,"4 348 669,2",00,"4 328 795,4",00,00,"19 873,7",00,"4 339 865,3",00,"4 320 000,0",00,00,"19 865,3",00
01.06.2026,"4 343 910,9",00,"4 328 891,8",00,00,"15 019,1",00,"4 335 000,0",00,"4 320 000,0",00,00,"15 000,0",00
29.05.2026,"4 328 891,8",00,"4 328 891,8",00,00,00,00,"4 320 000,0",00,"4 320 000,0",00,00,00,00
28.05.2026,"4 332 024,1",00,"4 332 024,1",00,00,00,00,"4 320 000,0",00,"4 320 000,0",00,00,00,00
27.05.2026,"4 423 030,3",00,"4 420 244,8",00,00,"2 785,5",00,"4 412 784,3",00,"4 410 000,0",00,00,"2 784,3",00
26.05.2026,"4 420 244,8",00,"4 420 244,8",00,00,00,00,"4 410 000,0",00,"4 410 000,0",00,00,00,00
25.05.2026,"4 420 244,8",00,"4 420 244,8",00,00,00,00,"4 410 000,0",00,"4 410 000,0",00,00,00,00
22.05.2026,"4 420 244,8",00,"4 420 244,8",00,00,00,00,"4 410 000,0",00,"4 410 000,0",00,00,00,00
21.05.2026,"4 426 026,4",00,"4 422 273,9",00,00,"3 752,5",00,"4 413 750,9",00,"4 410 000,0",00,00,"3 750,9",00
20.05.2026,"4 791 543,3",00,"4 791 543,3",00,00,00,00,"4 780 000,0",00,"4 780 000,0",00,00,00,00
19.05.2026,"4 792 305,6",00,"4 792 305,6",00,00,00,00,"4 780 000,0",00,"4 780 000,0",00,00,00,00
18.05.2026,"4 792 670,6",00,"4 792 670,6",00,00,00,00,"4 780 000,0",00,"4 780 000,0",00,00,00,00
15.05.2026,"4 793 302,6",00,"4 793 302,6",00,00,00,00,"4 780 000,0",00,"4 780 000,0",00,00,00,00
14.05.2026,"4 793 302,6",00,"4 793 302,6",00,00,00,00,"4 780 000,0",00,"4 780 000,0",00,00,00,00
13.05.2026,"4 139 812,2",00,"4 139 812,2",00,00,00,00,"4 130 000,0",00,"4 130 000,0",00,00,00,00
12.05.2026,"4 139 812,2",00,"4 139 812,2",00,00,00,00,"4 130 000,0",00,"4 130 000,0",00,00,00,00
11.05.2026,"4 141 282,4",00,"4 141 282,4",00,00,00,00,"4 130 000,0",00,"4 130 000,0",00,00,00,00
08.05.2026,"4 141 282,4",00,"4 141 282,4",00,00,00,00,"4 130 000,0",00,"4 130 000,0",00,00,00,00
07.05.2026,"4 144 283,3",00,"4 141 495,9",00,00,"2 787,4",00,"4 132 786,2",00,"4 130 000,0",00,00,"2 786,2",00
06.05.2026,"4 602 699,0",00,"4 602 699,0",00,00,00,00,"4 590 000,0",00,"4 590 000,0",00,00,00,00
