Обязательные резервы кредитных организаций,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,"Обязательные резервы1;2;3;4;5 и средства на корреспонденских 
счетах (корсчетах)2 в Банке России, млрд руб.",,,Количество кредитных организаций:,,Справочно:,,,
"Период усреднения
обязательных резервов
(указан первый день)",Фактические среднедневные остатки средств на корсчетах3,"Обязательные резервы, подлежащие усреднению на корсчетах4",Обязательные резервы на счетах для их учета4,пользующихся правом усреднения обязательных резервов1,действующих1,период усреднения обязательных резервов,число календарных дней в периоде усреднения обязательных резервов,отчетный период6,период регулирования обязательных резервов7
2004-09-01 00:00:00,195.45666666666665,8.7,116,492,1316,2004-09-01 00:00:00,30,01.08.2004 — 01.09.2004,03.09.2004 — 08.09.2004
2004-10-01 00:00:00,231.54032258064515,9.1,117.3,503,1315,2004-10-01 00:00:00,31,01.09.2004 — 01.10.2004,05.10.2004 — 08.10.2004
2004-11-01 00:00:00,282.4883333333334,11.5,118.9,521,1311,2004-11-01 00:00:00,30,01.10.2004 — 01.11.2004,03.11.2004 — 09.11.2004
2004-12-01 00:00:00,368.25967741935483,12,121.7,523,1304,2004-12-01 00:00:00,31,01.11.2004 — 01.12.2004,03.12.2004 — 08.12.2004
2005-01-01 00:00:00,356.6758064516129,12.7,171.6,650,1300,2005-01-01 00:00:00,31,01.12.2004 — 01.01.2005,13.01.2005 — 18.01.2005
2005-02-01 00:00:00,265.6303571428571,13.2,129.1,559,1300,2005-02-01 00:00:00,28,01.01.2005 — 01.02.2005,03.02.2005 — 08.02.2005
2005-03-01 00:00:00,286.12580645161296,13.4,133.2,573,1296,2005-03-01 00:00:00,31,01.02.2005 — 01.03.2005,03.03.2005 — 09.03.2005
2005-04-01 00:00:00,258.43000000000006,12.9,134.4,581,1293,2005-04-01 00:00:00,30,01.03.2005 — 01.04.2005,05.04.2005 — 08.04.2005
2005-05-01 00:00:00,239.0129032258064,14.4,135.1,588,1289,2005-05-01 00:00:00,31,01.04.2005 — 01.05.2005,05.05.2005 — 12.05.2005
