Дата,Тип налога,Описание
2014-01-15,НДС,Уплата НДС
2014-01-28,Налог на прибыль,Уплата Налог на прибыль
2014-02-15,НДС,Уплата НДС
2014-02-28,Налог на прибыль,Уплата Налог на прибыль
2014-03-15,НДС,Уплата НДС
2014-03-28,Налог на прибыль,Уплата Налог на прибыль
2014-03-31,НДФЛ,Уплата НДФЛ
2014-04-15,НДС,Уплата НДС
2014-04-28,Налог на прибыль,Уплата Налог на прибыль
2014-05-15,НДС,Уплата НДС
2014-05-28,Налог на прибыль,Уплата Налог на прибыль
2014-06-15,НДС,Уплата НДС
2014-06-28,Налог на прибыль,Уплата Налог на прибыль
2014-07-15,НДС,Уплата НДС
2014-07-28,Налог на прибыль,Уплата Налог на прибыль
2014-08-15,НДС,Уплата НДС
2014-08-28,Налог на прибыль,Уплата Налог на прибыль
2014-09-15,НДС,Уплата НДС
2014-09-28,Налог на прибыль,Уплата Налог на прибыль
2014-09-30,НДФЛ,Уплата НДФЛ
2014-10-15,НДС,Уплата НДС
2014-10-28,Налог на прибыль,Уплата Налог на прибыль
2014-11-15,НДС,Уплата НДС
2014-11-28,Налог на прибыль,Уплата Налог на прибыль
2014-12-15,НДС,Уплата НДС
2014-12-28,Налог на прибыль,Уплата Налог на прибыль
2014-12-31,НДФЛ,Уплата НДФЛ
2015-01-15,НДС,Уплата НДС
2015-01-28,Налог на прибыль,Уплата Налог на прибыль
2015-02-15,НДС,Уплата НДС
2015-02-28,Налог на прибыль,Уплата Налог на прибыль
2015-03-15,НДС,Уплата НДС
2015-03-28,Налог на прибыль,Уплата Налог на прибыль
2015-03-31,НДФЛ,Уплата НДФЛ
2015-04-15,НДС,Уплата НДС
2015-04-28,Налог на прибыль,Уплата Налог на прибыль
2015-05-15,НДС,Уплата НДС
2015-05-28,Налог на прибыль,Уплата Налог на прибыль
2015-06-15,НДС,Уплата НДС
2015-06-28,Налог на прибыль,Уплата Налог на прибыль
2015-07-15,НДС,Уплата НДС
2015-07-28,Налог на прибыль,Уплата Налог на прибыль
2015-08-15,НДС,Уплата НДС
2015-08-28,Налог на прибыль,Уплата Налог на прибыль
2015-09-15,НДС,Уплата НДС
2015-09-28,Налог на прибыль,Уплата Налог на прибыль
2015-09-30,НДФЛ,Уплата НДФЛ
2015-10-15,НДС,Уплата НДС
2015-10-28,Налог на прибыль,Уплата Налог на прибыль
2015-11-15,НДС,Уплата НДС
2015-11-28,Налог на прибыль,Уплата Налог на прибыль
2015-12-15,НДС,Уплата НДС
2015-12-28,Налог на прибыль,Уплата Налог на прибыль
2015-12-31,НДФЛ,Уплата НДФЛ
2016-01-15,НДС,Уплата НДС
2016-01-28,Налог на прибыль,Уплата Налог на прибыль
2016-02-15,НДС,Уплата НДС
2016-02-28,Налог на прибыль,Уплата Налог на прибыль
2016-03-15,НДС,Уплата НДС
2016-03-28,Налог на прибыль,Уплата Налог на прибыль
2016-03-31,НДФЛ,Уплата НДФЛ
2016-04-15,НДС,Уплата НДС
2016-04-28,Налог на прибыль,Уплата Налог на прибыль
2016-05-15,НДС,Уплата НДС
2016-05-28,Налог на прибыль,Уплата Налог на прибыль
2016-06-15,НДС,Уплата НДС
2016-06-28,Налог на прибыль,Уплата Налог на прибыль
2016-07-15,НДС,Уплата НДС
2016-07-28,Налог на прибыль,Уплата Налог на прибыль
2016-08-15,НДС,Уплата НДС
2016-08-28,Налог на прибыль,Уплата Налог на прибыль
2016-09-15,НДС,Уплата НДС
2016-09-28,Налог на прибыль,Уплата Налог на прибыль
2016-09-30,НДФЛ,Уплата НДФЛ
2016-10-15,НДС,Уплата НДС
2016-10-28,Налог на прибыль,Уплата Налог на прибыль
2016-11-15,НДС,Уплата НДС
2016-11-28,Налог на прибыль,Уплата Налог на прибыль
2016-12-15,НДС,Уплата НДС
2016-12-28,Налог на прибыль,Уплата Налог на прибыль
2016-12-31,НДФЛ,Уплата НДФЛ
2017-01-15,НДС,Уплата НДС
2017-01-28,Налог на прибыль,Уплата Налог на прибыль
2017-02-15,НДС,Уплата НДС
2017-02-28,Налог на прибыль,Уплата Налог на прибыль
2017-03-15,НДС,Уплата НДС
2017-03-28,Налог на прибыль,Уплата Налог на прибыль
2017-03-31,НДФЛ,Уплата НДФЛ
2017-04-15,НДС,Уплата НДС
2017-04-28,Налог на прибыль,Уплата Налог на прибыль
2017-05-15,НДС,Уплата НДС
2017-05-28,Налог на прибыль,Уплата Налог на прибыль
2017-06-15,НДС,Уплата НДС
2017-06-28,Налог на прибыль,Уплата Налог на прибыль
2017-07-15,НДС,Уплата НДС
2017-07-28,Налог на прибыль,Уплата Налог на прибыль
2017-08-15,НДС,Уплата НДС
2017-08-28,Налог на прибыль,Уплата Налог на прибыль
2017-09-15,НДС,Уплата НДС
2017-09-28,Налог на прибыль,Уплата Налог на прибыль
2017-09-30,НДФЛ,Уплата НДФЛ
2017-10-15,НДС,Уплата НДС
2017-10-28,Налог на прибыль,Уплата Налог на прибыль
2017-11-15,НДС,Уплата НДС
2017-11-28,Налог на прибыль,Уплата Налог на прибыль
2017-12-15,НДС,Уплата НДС
2017-12-28,Налог на прибыль,Уплата Налог на прибыль
