Дата аукциона,Объем предложения,Совокупный объем спроса по номиналу,Объем размещения по номиналу,Доходность по средне-взвешенной цене
2014-01-01,106181.01782710437,256556.09588125412,91952.43980595678,11.986584841970366
2014-01-08,73402.79606636548,78187.97459139733,38833.14780257285,14.661761457749352
2014-01-15,140167.2517614813,280856.399780662,71526.26187791191,15.699098521619943
2014-01-22,174866.39612006326,203015.77446345458,103330.73643010881,7.834045098534338
2014-01-29,95636.33644393066,161824.89965452979,68472.98778603396,8.912291401980418
2014-02-05,141777.93420835692,147043.50474327686,91598.79948385332,9.663618432936918
2014-02-12,118410.49763255539,252782.6278460779,71026.9847710506,11.142344384136116
2014-02-19,138862.18532930638,122055.09815701516,111613.59557495495,7.705241236872915
2014-02-26,59757.73894779193,144201.7233433175,58730.86294994351,14.08397348116461
2014-03-05,95692.0653760056,92442.61104295414,80583.86844071453,10.401524937396013
2014-03-12,68305.73522671682,112144.40713252855,35327.33422242564,15.093204020787821
2014-03-19,88816.99724000254,171087.1056235453,58251.11951235699,11.200680211778108
2014-03-26,132006.54190149196,147088.62915050713,129999.02784676832,13.751328233611146
2014-04-02,190924.84123462837,443175.9816694661,152539.39988166123,15.218742350231167
2014-04-09,63273.87530778792,71700.11208482333,33067.7905734113,9.253303307632644
2014-04-16,108301.5934534223,136600.08005210347,99027.5931245982,9.567533266935893
2014-04-23,92140.17645310711,158719.13302892455,52562.47970439955,14.021969807540398
2014-04-30,61182.596551965624,151592.5962251115,54215.26835560439,7.987156815341724
2014-05-07,50828.31756854036,111125.15922050865,43378.34355864099,13.290071680409874
2014-05-14,165690.55200289187,153408.89027407512,112542.46821975561,7.158690595251297
2014-05-21,179465.51388133902,333735.2927801235,119425.1489769199,6.635583502860237
2014-05-28,96647.34825734932,130745.65841726083,83580.92533295097,12.375574713552131
2014-06-04,183081.91138644898,293437.34795171884,102488.72726182715,13.13244787222995
2014-06-11,164117.7572925346,287890.64913775347,145323.58090641355,10.937955963643908
2014-06-18,128409.92440729911,196058.80626818907,65836.99627550396,7.078914269933044
2014-06-25,54714.37785301014,102966.86179191741,35957.084890987,11.085706911647028
2014-07-02,186134.97108891394,227791.38004216962,131260.79230176745,13.555511385430487
2014-07-09,84319.72482374337,78490.35204231938,54375.74380035607,7.612212872540044
2014-07-16,189454.64785138596,411837.39356534724,154727.96674440664,14.714605901877178
2014-07-23,170550.81153486716,190534.09664480004,161388.73653504057,11.393422419156508
2014-07-30,171116.02327460938,397563.3041672894,112765.75664965075,7.100519245276768
2014-08-06,84190.27438129125,128481.36676024583,76529.58098612685,14.607305832563434
2014-08-13,51042.8195796786,85153.22577140904,36174.327051987195,8.221078104707303
2014-08-20,67979.80510005241,93400.56711646894,66039.3114994868,9.232029320207552
2014-08-27,127818.59326150491,255014.99502485787,87148.60875293332,15.717820827209607
2014-09-03,194367.0942413167,238688.60386872556,145507.92072372793,9.008783098167697
2014-09-10,92726.07415662015,79995.5084121693,74624.29089623541,11.026790232288615
2014-09-17,57721.8126874984,73520.21447498772,55074.28301385519,8.395618906669725
2014-09-24,71734.23081368346,117075.26402379358,71219.5539952326,8.420552715115004
2014-10-01,150820.33211088178,315931.3953429721,93330.45270891489,13.282163486118595
2014-10-08,105167.46990788798,197180.58342591545,85897.09335004368,11.357746840747584
2014-10-15,63543.46550816124,141067.39844603377,41963.47125119923,7.8651851039985425
2014-10-22,56116.27123321459,101262.8217251362,47069.32837015803,6.165878289278561
2014-10-29,126813.95874489215,150279.97101204796,104315.43718560155,7.743664290049915
2014-11-05,153640.6607153699,223923.59458921922,148780.23754839136,7.3752094414599325
2014-11-12,101159.95265753877,100442.22138822079,97350.9576526632,14.77339353380981
2014-11-19,88691.24415727334,170462.16580924692,80585.84892303174,11.552008115994623
2014-11-26,129447.58675340097,156780.30159605725,70749.75768296844,14.972157579533267
2014-12-03,185062.70857449956,347228.0666848711,123902.23999670938,9.492095746126608
2014-12-10,158893.35183053592,369440.93694565695,149922.74357269262,13.798755458576238
2014-12-17,146304.74692314316,137970.9272225432,84975.89751713435,14.985541885270793
2014-12-24,140964.3589489385,114975.46318426025,77634.11497030423,12.635017691080558
2014-12-31,50759.23757693281,54483.630008059794,39306.27317894098,12.918951976926932
2015-01-07,147794.18892539007,174583.04231769932,126525.06965698248,8.372490874968001
2015-01-14,98809.95472389016,204441.29307963682,81500.07603294747,14.49223410494178
2015-01-21,148641.9338450515,262520.17977100133,81282.9662437527,9.677158030594335
2015-01-28,89780.35515225882,109063.59474308713,88568.7941624149,9.930977246667604
2015-02-04,183806.98327656699,344258.65430684004,164949.42562733658,11.026370931051922
2015-02-11,136535.58269395385,223546.98968665267,81596.5988999342,13.224521152615054
2015-02-18,92115.85436612836,77500.4897312742,75787.04318664178,7.771106794070489
2015-02-25,191068.78765293714,462707.1905384887,182935.40877960093,9.701587002554444
2015-03-04,52318.49247933011,124420.78113325046,37360.22081141894,15.666548190436696
2015-03-11,194542.99656338792,437744.3237087012,125912.98318068737,9.850977286019253
2015-03-18,177670.50072752853,237859.47587309283,103892.18095046536,11.5680126245835
2015-03-25,190423.21612411714,377656.967981102,149488.04876000568,6.971764937707685
2015-04-01,142251.08400487545,353222.46398480464,81089.09351201323,11.183296523637367
